"pin_key","status","scheduled_date_jst","platform","format","topic","board","pin_title","pin_description","frame_1","frame_2","frame_3","cta","target_url","utm_campaign","template","notes"
"PIN001","ready","2026-07-14","Pinterest","text_video","shinkansen_luggage","Japan Luggage and Transport","Shinkansen luggage rules before you ride","Check oversized luggage rules before taking the Shinkansen in Japan.","Shinkansen luggage rules? Do not guess at the station.","Oversized bags may need a reserved luggage area.","Check bag size, seat type, and route before booking.","Read the BSJ luggage guide","/shinkansen-oversized-luggage-guide","pinterest_shinkansen_luggage","text_video_01","Good first pin because topic is highly searchable."
"PIN002","ready","2026-07-14","Pinterest","text_video","tattoo_bath","Japan Hotels and Stays","Tattoo friendly in Japan? Check bath rules first","A calm guide for tattooed travelers comparing public baths and private baths in Japan.","Tattoo-friendly in Japan? Check the bath rules first.","Public bath, private bath, and room bath can mean different things.","Ask what is allowed before you choose the stay.","Save the Kansai tattoo stay guide","/tattoo-friendly-stays-kansai","pinterest_tattoo_stays","text_video_01","Avoid promising tattoo acceptance."
"PIN003","ready","2026-07-15","Pinterest","static_text","esim_arrival","Japan Arrival Checklist","Japan eSIM before landing","What to set up before you need maps, hotel messages, and QR tickets in Japan.","Japan eSIM before landing","Maps, tickets, translation, and hotel messages all need a working phone.","Install with Wi-Fi. Save key details offline. Know when to activate.","Read the eSIM setup guide","/japan-esim-guide","pinterest_esim_arrival","static_01","Good for planning-stage travelers."
"PIN004","ready","2026-07-15","Pinterest","text_video","dietary_dashi","Japan Food and Dietary Needs","Vegetarian in Japan? Ask about dashi","Vegetarian travelers in Japan should ask about fish-based dashi, bonito flakes, and dried sardines.","Vegetarian in Japan? Ask about dashi, not just meat.","Soup, sauce, and vegetable dishes may still use fish-based stock.","Ask about fish, bonito flakes, dried sardines, and dashi.","Read the dietary needs guide","/dietary-restrictions-japan","pinterest_food_dietary","text_video_01","Use careful language; no safety guarantees."
"PIN005","ready","2026-07-16","Pinterest","text_video","airport_arrival","Japan Arrival Checklist","Japan airport arrival checklist","Plan internet, luggage, tickets, and hotel check-in before the first route from the airport.","Landing in Japan soon? Plan the first hour.","You may need internet, tickets, luggage choices, and hotel directions at once.","Set up eSIM, save hotel details, and choose a calmer route.","Get the arrival checklist","/japan-airport-arrival-transfer-guide","pinterest_airport_arrival","text_video_01","Connects eSIM and transfer funnel."
"PIN006","ready","2026-07-16","Pinterest","checklist","luggage_storage","Japan Luggage and Transport","Japan checkout day luggage checklist","Plan hotel storage, lockers, luggage delivery, or storage services before checkout day.","Checkout day in Japan? Decide where your bags go.","Large lockers can be full, and hotel storage rules vary.","Compare hotel storage, lockers, delivery, and storage services.","Get the luggage checklist","/japan-luggage-storage-guide","pinterest_luggage_storage","checklist_01","Good lead magnet angle."
"PIN007","ready","2026-07-17","Pinterest","text_video","private_tours","Japan Day Trips and Experiences","When a private tour in Japan is worth it","A practical guide to deciding when a private tour or car solves real travel friction in Japan.","Private tour in Japan? Start with the friction.","Luggage, kids, older travelers, and scattered stops can change the answer.","Check pickup, vehicle fit, toilets, costs, and weather fallback.","Read the private tour guide","/japan-private-tours-transfers-guide","pinterest_private_tours","text_video_01","Affiliate-adjacent but practical."
"PIN008","ready","2026-07-17","Pinterest","text_video","private_bath","Japan Hotels and Stays","Private bath vs public bath in Japan","Understand private bath, public bath, and in-room bath wording before booking a Japan stay.","Private bath vs public bath in Japan","These words do not always mean the same thing for travelers with tattoos or privacy needs.","Check whether the bath is shared, reservable, or inside your room.","Read the private bath guide","/private-bath-stays-kansai","pinterest_private_bath","text_video_01","Strong BSJ core topic."
"PIN009","ready","2026-07-18","Pinterest","static_text","kansai_day_trips","Japan Day Trips and Experiences","Kansai day trips without logistics stress","Before choosing a Kansai day trip, check meeting points, toilets, walking, luggage, and weather.","Kansai day trips: check the practical details","Meeting point, walking load, lunch timing, and toilets can shape the day.","Choose train, bus tour, or private car by friction, not hype.","Read the Kansai day trip guide","/kansai-day-trips-practical-guide","pinterest_kansai_day_trips","static_01","Good for Osaka/Kyoto planning."
"PIN010","ready","2026-07-18","Pinterest","text_video","food_tours","Japan Food and Dietary Needs","Japan food tours with dietary needs","Questions to check before booking a Japan food tour with vegetarian, allergy, halal, or no-fish needs.","Food tour in Japan? Check before booking.","Dietary needs may not be clear from the title or photos.","Ask about dashi, substitutions, allergies, and cross-contact limits.","Read the food tour guide","/japan-food-tours-dietary-needs-guide","pinterest_food_tours","text_video_01","Do not imply all tours can support restrictions."
"PIN011","ready","2026-07-19","Pinterest","text_video","ic_card","Japan Luggage and Transport","Japan IC card setup for first-time travelers","Use IC cards more calmly by understanding phone setup, station use, and backup payment options.","Japan IC cards are useful, but plan the setup.","Phone compatibility, charging, and station machines can matter.","Keep backup cash or card and understand where IC cards work.","Read the IC card guide","/japan-ic-card-guide","pinterest_ic_card","text_video_01","Evergreen practical topic."
"PIN012","ready","2026-07-19","Pinterest","checklist","free_samples","Japan Travel Planning","Free Japan travel planning samples","Get BSJ sample checklists for stays, luggage, phrase cards, bath wording, and food needs.","Planning Japan with real constraints?","Tattoo notes, luggage, food needs, baths, and arrival setup can all affect the trip.","Start with free BSJ samples before you book.","Get the free sample pack","/free-japan-travel-samples","pinterest_free_samples","checklist_01","Primary list-building pin."
"PIN013","ready","2026-07-20","Pinterest","text_video","family_activities","Japan Day Trips and Experiences","Japan activities with kids: check the hidden details","Plan Japan activities around strollers, toilets, walking time, waiting, and weather.","Japan activities with kids? Look past the title.","Toilets, walking, waiting time, and stroller rules can decide the day.","Check age limits, rest breaks, transport, and cancellation rules.","Read the family activity guide","/japan-family-activity-planning-guide","pinterest_family_activities","text_video_01","Good family travel topic."
"PIN014","ready","2026-07-20","Pinterest","text_video","ryokan","Japan Hotels and Stays","Ryokan stay guide for first-time Japan travelers","Understand ryokan timing, meals, baths, luggage, and rules before choosing a traditional stay.","First ryokan stay in Japan? Check the rhythm.","Meals, bath times, shoes, arrival time, and luggage rules may differ from hotels.","Confirm the details before booking a traditional stay.","Read the ryokan stay guide","/ryokan-stay-guide","pinterest_ryokan","text_video_01","Core stay guide."
"PIN015","ready","2026-07-21","Pinterest","static_text","luggage_delivery","Japan Luggage and Transport","Japan luggage delivery: what to confirm","Forwarding luggage in Japan is useful, but hotel receiving rules and timing matter.","Japan luggage delivery can save a travel day","But timing, hotel receiving rules, and labels matter.","Confirm both hotels and keep essentials with you.","Read the luggage delivery guide","/japan-luggage-delivery-guide","pinterest_luggage_delivery","static_01","Good affiliate-adjacent topic."
"PIN016","ready","2026-07-21","Pinterest","text_video","taxi_transfer","Japan Luggage and Transport","Taxi or private transfer in Japan?","When taxis or private transfers make sense for luggage, children, late arrivals, or difficult stations.","Taxi or private transfer in Japan?","Trains are great, but not every route is easy with bags or kids.","Check pickup, luggage fit, child seats, and backup routes.","Read the transfer guide","/japan-taxi-private-transfer-guide","pinterest_taxi_transfer","text_video_01","Connects to Kiwitaxi/Klook."
"PIN017","ready","2026-07-22","Pinterest","text_video","confirmation_support","Japan Travel Planning","Need to ask a hotel in Japanese?","Use confirmation support boundaries: questions, summaries, and templates without booking on your behalf.","Need to ask a hotel or activity in Japanese?","Some details are hard to confirm from English listings alone.","BSJ focuses on questions and summaries, not booking for you.","See confirmation support","/japan-confirmation-service","pinterest_confirmation_support","text_video_01","Service positioning pin."
"PIN018","ready","2026-07-22","Pinterest","text_video","theme_parks","Japan Day Trips and Experiences","Japan theme park day: check before you go","Plan Japan theme parks around tickets, transport, lockers, weather, children, and food needs.","Japan theme park day? Plan the friction first.","Tickets are only one part of the day.","Check transport, lockers, weather, food needs, and return route.","Read the attraction guide","/japan-theme-park-attraction-guide","pinterest_theme_parks","text_video_01","High-intent activity topic."
"PIN019","ready","2026-07-23","Pinterest","static_text","onsen_etiquette","Japan Hotels and Stays","Japan onsen etiquette without guessing","A practical onsen etiquette guide for travelers who want to avoid awkward surprises.","Japan onsen etiquette: what to know first","Towels, washing, tattoos, and bath types can confuse first-time visitors.","Read the rules calmly before you go.","Read the onsen etiquette guide","/japan-onsen-etiquette-guide","pinterest_onsen_etiquette","static_01","Use calm tone not top baths."
"PIN020","ready","2026-07-23","Pinterest","text_video","access_friendly","Japan Hotels and Stays","Access-friendly stays: what to confirm","Access-friendly does not guarantee full wheelchair access. Check the practical details directly.","Access-friendly stay? Confirm the exact details.","Elevators, station distance, stairs, and luggage movement can all matter.","Do not assume full accessibility from one label.","Browse access-friendly stays","/stays/access-friendly","pinterest_access_friendly","text_video_01","Use cautious accessibility language."
"PIN021","ready","2026-07-24","Pinterest","text_video","long_stay","Japan Hotels and Stays","Long-stay Japan hotel checklist","Check kitchen, laundry, luggage, room layout, and neighborhood practicality before a longer Japan stay.","Long stay in Japan? Check daily life details.","Kitchen, laundry, storage, workspace, and nearby shops matter more over time.","Compare comfort before you book.","Browse self-catering stays","/stays/self-catering","pinterest_long_stay","text_video_01","Good future product topic."
"PIN022","ready","2026-07-24","Pinterest","text_video","pet_friendly","Japan Hotels and Stays","Pet-friendly stays in Japan: read the rules","Pet-friendly does not always mean every pet, room, or situation is accepted.","Pet-friendly in Japan? Read the small rules.","Size, breed, fees, rooms, and paperwork can vary by property.","Confirm the pet policy before relying on the label.","Browse pet-friendly stays","/stays/pet-friendly","pinterest_pet_friendly","text_video_01","Careful pet policy framing."
"PIN023","ready","2026-07-25","Pinterest","checklist","tattoo_starter","Japan Hotels and Stays","Kansai tattoo stay starter kit","Get a free starter kit for tattooed travelers comparing Kansai stays, baths, and confirmation questions.","Tattooed traveler visiting Kansai?","Bath wording can be confusing before you book.","Use a starter checklist for public bath, private bath, and room bath questions.","Get the free starter kit","/free-kansai-tattoo-stay-kit","pinterest_tattoo_starter","checklist_01","List-building pin."
"PIN024","ready","2026-07-25","Pinterest","text_video","rail_pass","Japan Luggage and Transport","Japan rail pass planning: check the route first","JR Pass decisions should start from actual routes, luggage, and trip timing, not only old assumptions.","Japan rail pass? Check your actual route first.","The best choice depends on cities, timing, luggage, and seat needs.","Compare route value before buying any pass.","Read the rail pass guide","/japan-rail-pass-guide","pinterest_rail_pass","text_video_01","SEO support topic."
"PIN025","ready","2026-07-26","Pinterest","text_video","restaurant_etiquette","Japan Food and Dietary Needs","Japan restaurant etiquette for nervous travelers","Simple restaurant etiquette notes for travelers who want fewer awkward moments in Japan.","Nervous about restaurants in Japan?","Small rules around ordering, paying, and waiting can feel unclear.","Learn the basics before you need them.","Read the restaurant etiquette guide","/japan-restaurant-etiquette-guide","pinterest_restaurant_etiquette","text_video_01","Trust-building pin."
